id_tweet,created_at,lang,like_count,quote_count,reply_count,retweet_count,text
1550669018079432705,2022-07-23 02:27:58+00:00,es,979,13,62,454,"Ya van más de 5.000 encerronas este año, más que todo el 2021. Un record absoluto.

¿Y el Presidente Boric? Haciendo campaña."
1550669014480760832,2022-07-23 02:27:57+00:00,es,327,1,10,194,"Si el gobierno del Presidente Boric no puede defender a su propia Subsecretaria de un asalto violento, que queda para millones de chilenos indefensos. Siga haciendo campaña. 

No hay Presidente, no hay Ministra, no hay gobierno. https://t.co/11y6gGLtCQ"
1550652601523249153,2022-07-23 01:22:44+00:00,es,1825,30,83,1075,"El Coordinador de Seguridad Pública de Tarapacá del gobierno del Presidente Boric tenia una condena por porte y consumo de drogas, y una denuncia por violencia intrafamiliar. Gran curriculum. 

¿A quién van a poner de Ministro de Economia?"
1550635201231032321,2022-07-23 00:13:36+00:00,es,1151,11,97,499,“Estamos preocupados” responde la Ministra Siches. Tremenda respuesta! Hagan la pega! https://t.co/sGs8vFmqX8
1550634338806546432,2022-07-23 00:10:10+00:00,es,0,0,0,80,"RT @JIrarrazavalR: 🔴La ciudadanía necesita la verdad y claridad!

Por un #TransporteDigno donde no hayan chilenos de primera y segunda cate…"
1550633983184084993,2022-07-23 00:08:45+00:00,es,737,5,41,449,"Mientras el Presidente Boric hace campaña, los chilenos son asaltados, golpeados y apuñalados todos los días. No hay plan, no hay agenda, no hay preocupación. Gobierno incompetente, ciudadanía impotente.  https://t.co/Xrtve5cSdh"
1550616449722355713,2022-07-22 22:59:05+00:00,es,1071,12,47,653,Estamos frente a la intervención política electoral más masiva y extendida de nuestra historia reciente. Ayúdanos a denunciar y exigir que el Presidente Boric se dedique a trabajar y no a hacer campaña con la plata de los chilenos #yotefiscalizo https://t.co/gen2QLx2P1
1550612995142692864,2022-07-22 22:45:21+00:00,es,716,1,30,360,¿Y en Presidencia no hacen sumarios? https://t.co/k6PFK3EKnu
1550606874411560961,2022-07-22 22:21:02+00:00,es,0,0,0,652,RT @YoTeFiscalizo: Ayúdanos a combatir la corrupción del Estado y a exigir el uso correcto de la plata de todos los chilenos. Por eso #YoTe…
1550591163605798912,2022-07-22 21:18:36+00:00,es,3189,81,275,2131,"La convención ya no existe: ¿quién está financiando a estos asesores y este material? Ya ni siquiera son faltas administrativas, aqui puede haber delitos  https://t.co/xHbDYEGgNz"
1550476633483595778,2022-07-22 13:43:30+00:00,es,4984,146,596,2803,"Mientras el Presidente Gabriel Boric oficia como Jefe de Campaña en el plebiscito, en Chile están asaltando, agrediendo y matando gente. ¿Cuándo van a comenzar a gobernar? https://t.co/FFIAIhR1wy"
